,CandleTime,TriggeredChecker,TakenAction
0,2023-06-01 00:00:00+00:00,start_time_checker,SKIP
1,2023-06-01 00:15:00+00:00,start_time_checker,SKIP
2,2023-06-01 00:30:00+00:00,start_time_checker,SKIP
3,2023-06-01 00:45:00+00:00,start_time_checker,SKIP
4,2023-06-01 01:00:00+00:00,start_time_checker,SKIP
5,2023-06-01 01:15:00+00:00,start_time_checker,SKIP
6,2023-06-01 01:30:00+00:00,start_time_checker,SKIP
7,2023-06-01 01:45:00+00:00,start_time_checker,SKIP
8,2023-06-01 02:00:00+00:00,start_time_checker,SKIP
9,2023-06-01 02:15:00+00:00,start_time_checker,SKIP
10,2023-06-01 02:30:00+00:00,start_time_checker,SKIP
11,2023-06-01 02:45:00+00:00,start_time_checker,SKIP
12,2023-06-01 03:00:00+00:00,start_time_checker,SKIP
13,2023-06-01 03:15:00+00:00,start_time_checker,SKIP
14,2023-06-01 03:30:00+00:00,start_time_checker,SKIP
15,2023-06-01 03:45:00+00:00,start_time_checker,SKIP
16,2023-06-01 04:00:00+00:00,start_time_checker,SKIP
17,2023-06-01 04:15:00+00:00,start_time_checker,SKIP
18,2023-06-01 04:30:00+00:00,start_time_checker,SKIP
19,2023-06-01 04:45:00+00:00,start_time_checker,SKIP
20,2023-06-01 05:00:00+00:00,start_time_checker,SKIP
21,2023-06-01 05:15:00+00:00,start_time_checker,SKIP
22,2023-06-01 05:30:00+00:00,start_time_checker,SKIP
23,2023-06-01 05:45:00+00:00,start_time_checker,SKIP
253,2023-06-05 16:00:00+00:00,,
254,2023-06-05 16:15:00+00:00,,
255,2023-06-05 16:30:00+00:00,,
256,2023-06-05 16:45:00+00:00,,
257,2023-06-05 17:00:00+00:00,,
258,2023-06-05 17:15:00+00:00,,
259,2023-06-05 17:30:00+00:00,,
260,2023-06-05 17:45:00+00:00,,
261,2023-06-05 18:00:00+00:00,,
262,2023-06-05 18:15:00+00:00,,
263,2023-06-05 18:30:00+00:00,,
264,2023-06-05 18:45:00+00:00,,
265,2023-06-05 19:00:00+00:00,,
266,2023-06-05 19:15:00+00:00,,
267,2023-06-05 19:30:00+00:00,,
268,2023-06-05 19:45:00+00:00,,
269,2023-06-05 20:00:00+00:00,,
270,2023-06-05 20:15:00+00:00,,
271,2023-06-05 20:30:00+00:00,,
272,2023-06-05 20:45:00+00:00,,
273,2023-06-05 21:00:00+00:00,,
274,2023-06-05 22:00:00+00:00,,
275,2023-06-05 22:15:00+00:00,,
276,2023-06-05 22:30:00+00:00,,
277,2023-06-05 22:45:00+00:00,,
278,2023-06-05 23:00:00+00:00,end_time_checker,CLOSE 100%
279,2023-06-05 23:15:00+00:00,no_more_trades_time_checker,SKIP
280,2023-06-05 23:30:00+00:00,no_more_trades_time_checker,SKIP
281,2023-06-05 23:45:00+00:00,no_more_trades_time_checker,SKIP
282,2023-06-06 00:00:00+00:00,start_time_checker,SKIP
283,2023-06-06 00:15:00+00:00,start_time_checker,SKIP
284,2023-06-06 00:30:00+00:00,start_time_checker,SKIP
285,2023-06-06 00:45:00+00:00,start_time_checker,SKIP
286,2023-06-06 01:00:00+00:00,start_time_checker,SKIP
287,2023-06-06 01:15:00+00:00,start_time_checker,SKIP
288,2023-06-06 01:30:00+00:00,start_time_checker,SKIP
289,2023-06-06 01:45:00+00:00,start_time_checker,SKIP
290,2023-06-06 02:00:00+00:00,start_time_checker,SKIP
291,2023-06-06 02:15:00+00:00,start_time_checker,SKIP
292,2023-06-06 02:30:00+00:00,start_time_checker,SKIP
293,2023-06-06 02:45:00+00:00,start_time_checker,SKIP
294,2023-06-06 03:00:00+00:00,start_time_checker,SKIP
295,2023-06-06 03:15:00+00:00,start_time_checker,SKIP
296,2023-06-06 03:30:00+00:00,start_time_checker,SKIP
297,2023-06-06 03:45:00+00:00,start_time_checker,SKIP
298,2023-06-06 04:00:00+00:00,start_time_checker,SKIP
299,2023-06-06 04:15:00+00:00,start_time_checker,SKIP
300,2023-06-06 04:30:00+00:00,start_time_checker,SKIP
301,2023-06-06 04:45:00+00:00,start_time_checker,SKIP
302,2023-06-06 05:00:00+00:00,start_time_checker,SKIP
303,2023-06-06 05:15:00+00:00,start_time_checker,SKIP
304,2023-06-06 05:30:00+00:00,start_time_checker,SKIP
305,2023-06-06 05:45:00+00:00,start_time_checker,SKIP
306,2023-06-06 06:00:00+00:00,,
307,2023-06-06 06:15:00+00:00,,
308,2023-06-06 06:30:00+00:00,,
309,2023-06-06 06:45:00+00:00,,
310,2023-06-06 07:00:00+00:00,,
311,2023-06-06 07:15:00+00:00,,
312,2023-06-06 07:30:00+00:00,,
313,2023-06-06 07:45:00+00:00,,
314,2023-06-06 08:00:00+00:00,,
315,2023-06-06 08:15:00+00:00,,
316,2023-06-06 08:30:00+00:00,,
317,2023-06-06 08:45:00+00:00,,
318,2023-06-06 09:00:00+00:00,to_sell_order_1_checker,SELL 1%
319,2023-06-06 09:15:00+00:00,,
320,2023-06-06 09:30:00+00:00,,
321,2023-06-06 09:45:00+00:00,,
322,2023-06-06 10:00:00+00:00,,
323,2023-06-06 10:15:00+00:00,,
324,2023-06-06 10:30:00+00:00,,
325,2023-06-06 10:45:00+00:00,,
326,2023-06-06 11:00:00+00:00,,
327,2023-06-06 11:15:00+00:00,,
328,2023-06-06 11:30:00+00:00,,
329,2023-06-06 11:45:00+00:00,,
330,2023-06-06 12:00:00+00:00,,
331,2023-06-06 12:15:00+00:00,,
332,2023-06-06 12:30:00+00:00,,
333,2023-06-06 12:45:00+00:00,,
334,2023-06-06 13:00:00+00:00,,
335,2023-06-06 13:15:00+00:00,,
336,2023-06-06 13:30:00+00:00,,
337,2023-06-06 13:45:00+00:00,,
338,2023-06-06 14:00:00+00:00,,
339,2023-06-06 14:15:00+00:00,,
340,2023-06-06 14:30:00+00:00,,
341,2023-06-06 14:45:00+00:00,,
342,2023-06-06 15:00:00+00:00,,
343,2023-06-06 15:15:00+00:00,,
344,2023-06-06 15:30:00+00:00,,
345,2023-06-06 15:45:00+00:00,,
346,2023-06-06 16:00:00+00:00,,
347,2023-06-06 16:15:00+00:00,,
348,2023-06-06 16:30:00+00:00,,
349,2023-06-06 16:45:00+00:00,,
350,2023-06-06 17:00:00+00:00,,
351,2023-06-06 17:15:00+00:00,,
352,2023-06-06 17:30:00+00:00,,
353,2023-06-06 17:45:00+00:00,,
354,2023-06-06 18:00:00+00:00,,
355,2023-06-06 18:15:00+00:00,,
356,2023-06-06 18:30:00+00:00,,
357,2023-06-06 18:45:00+00:00,,
358,2023-06-06 19:00:00+00:00,,
359,2023-06-06 19:15:00+00:00,,
360,2023-06-06 19:30:00+00:00,,
361,2023-06-06 19:45:00+00:00,,
362,2023-06-06 20:00:00+00:00,,
363,2023-06-06 20:15:00+00:00,,
364,2023-06-06 20:30:00+00:00,,
365,2023-06-06 20:45:00+00:00,,
366,2023-06-06 21:00:00+00:00,,
367,2023-06-06 22:00:00+00:00,,
368,2023-06-06 22:15:00+00:00,,
369,2023-06-06 22:30:00+00:00,,
370,2023-06-06 22:45:00+00:00,,
371,2023-06-06 23:00:00+00:00,end_time_checker,CLOSE 100%
372,2023-06-06 23:15:00+00:00,no_more_trades_time_checker,SKIP
373,2023-06-06 23:30:00+00:00,no_more_trades_time_checker,SKIP
374,2023-06-06 23:45:00+00:00,no_more_trades_time_checker,SKIP
375,2023-06-07 00:00:00+00:00,start_time_checker,SKIP
376,2023-06-07 00:15:00+00:00,start_time_checker,SKIP
377,2023-06-07 00:30:00+00:00,start_time_checker,SKIP
378,2023-06-07 00:45:00+00:00,start_time_checker,SKIP
379,2023-06-07 01:00:00+00:00,start_time_checker,SKIP
380,2023-06-07 01:15:00+00:00,start_time_checker,SKIP
381,2023-06-07 01:30:00+00:00,start_time_checker,SKIP
382,2023-06-07 01:45:00+00:00,start_time_checker,SKIP
383,2023-06-07 02:00:00+00:00,start_time_checker,SKIP
384,2023-06-07 02:15:00+00:00,start_time_checker,SKIP
385,2023-06-07 02:30:00+00:00,start_time_checker,SKIP
386,2023-06-07 02:45:00+00:00,start_time_checker,SKIP
387,2023-06-07 03:00:00+00:00,start_time_checker,SKIP
